Study_ID,DOI,DOI_URL,Title,Authors,Issue_year,Online_year,Journal,Source_PDF,Species,Taxon,Test_life_stage,Adult_role,Generation_design,Aquatic_system,Polymer,Particle_class,Nominal_size,Measured_size,Shape,Aging_or_surface_state,Fluorescent_label,Exposure_route,Exposure_regime,Exposure_start,Exposure_duration,Concentration_levels,Concentration_unit,Particle_only_arm,Co_stressor,Control_structure,Independent_unit,Biological_replicates,Organisms_per_unit,Environmental_realism,Biomarker_domains,Apical_domains,Same_experiment_link,Quantitative_status,Supplement_status,Raw_data_status,Eligibility_status,Manual_review_status,Key_quality_note,Same_experiment_biomarker_apical,Clear_treatment_control_mapping,Temporal_alignment,Group_means_reported,Variance_reported,Group_specific_independent_n,Experimental_unit_reported,Public_raw_or_complete_numeric_data,YES_count,NO_count,UC_count,Evaluated_count,Usability_proportion,Complete_8_item_score,Interpretive_note,Publication_year,Taxon_group,Habitat_group,Exposure_route_group,Polymer_group,Particle_class_group,Life_stage_group,Generation_group,Quantitative_reuse_class,Publication_year_final,Taxon_group_final,Exposure_route_final,Polymer_group_final,Particle_class_final
B1-092,10.1016/j.cbpc.2022.109269,https://doi.org/10.1016/j.cbpc.2022.109269,"Effects of polyvinyl chloride microplastics on reproduction, oxidative stress and reproduction and detoxification-related genes in Daphnia magna",Yang Liu; Jiale Zhang; Haoyang Zhao; Ji Cai; Yousef Sultan; Haiyan Fang; Bangjun Zhang; Junguo Ma,2022,2022,Comparative Biochemistry and Physiology Part C: Toxicology & Pharmacology,0092_2022_Effects_of_polyvinyl_chloride_microplastics_on_reproduction_oxidative_stress_and_reproduction_and_detoxif_j.cbpc.2022.109269.pdf.pdf,Daphnia magna,Crustacean,<24-h neonate,Exposed neonates matured through reproduction test,"Separate acute, chronic reproduction and pooled biomarker experiments",Freshwater beakers,Polyvinyl chloride,Microplastics,2 ± 1 and 50 ± 10 µm,Supplier size ranges; no additives,Not reported,"Virgin, additive-free",No,Waterborne,48-h acute and 21-d chronic exposure,<24 h neonate,"48 h; 4,7,14,21 d biomarkers; 21 d reproduction",Acute 0-160 mg/L for 50 µm; chronic 2.05 mg/L small and 4.97 mg/L large,mg/L,YES,,Particle-free controls for acute and chronic tests,Individual beaker for reproduction; replicate exposure vessel for pooled biomarkers,Reproduction n=10 individual beakers/group; biomarkers 3 replicates/group,1 daphnid/beaker reproduction; 90 living animals/replicate/time biomarker,Chronic concentrations are 1/10 LC50 and high relative to environmental exposure,Oxidative stress; reproduction/detoxification genes,Reproduction; acute mortality,PARTIAL - reproduction and biomarker experiments use matched concentrations/duration but separate cohorts,Exact LC50 and directional effects; response means/SD are figure-only,No supplementary numeric tables supplied,Available on request,INCLUDE - strict particle-only study; biomarker-apical linkage is parallel-cohort rather than same experiment,Manually verified - Batch 022,"Reproduction uses independent individual beakers, whereas mechanistic endpoints use large pooled samples in a separate experiment. They should not be treated as paired individual-level data.",NO,YES,YES,YES,YES,YES,YES,NO,,,,,,,Reproduction and mechanistic endpoints use separate cohorts despite matched chronic concentrations and duration.,2022,Crustacean,Freshwater,Waterborne,PVC,Microplastic,Embryo or larva,Single-generation or unclear,Fully reusable for conventional effect size,2022,Crustacean,Waterborne,PVC,Microplastic
B1-093,10.1007/s13273-020-00088-4,https://doi.org/10.1007/s13273-020-00088-4,Polystyrene microplastics induce mortality through acute cell stress and inhibition of cholinergic activity in a brine shrimp,Hye-Jin Eom; Sang-Eun Nam; Jae-Sung Rhee,2020,2020,Molecular & Cellular Toxicology,0093_2020_Eom_Polystyrene_microplastics_induce_mortality_through_acute_cell_stress_and_in_s13273-020-00088-4.pdf,Artemia franciscana,Crustacean,"Early juvenile, approximately 1 day after hatching",Not applicable,Acute biomarker and 30-d survival/AChE experiments,Artificial seawater vessels,Polystyrene,Microplastics,"1,3,6,10 µm","Supplier calibrated ranges 1.00-1.05, 3.00-3.08, 6.00-6.10, 10.00-10.15 µm",Spherical microbeads,Non-functionalized for toxicity; fluorescent melamine-resin particles used only for ingestion confirmation,Toxicity beads unlabelled; separate fluorescent melamine-resin particles for ingestion,Waterborne ingestion,96-h acute biomarkers and 30-d chronic survival/AChE,Approximately 1 DAH,96 h and 30 d,"0,1,10,100,1000 particles/mL",particles/mL,YES,,Particle-free controls by size/concentration experiment,Exposure vessel/container,Survival 3 vessels/concentration; AChE 3 containers/treatment; acute biomarker replication incompletely described,Survival 60-70 juveniles/vessel; AChE approximately 200 nauplii/container,Upper concentration very high; chronic density may induce physical crowding/feeding effects,Hsp70 expression; SOD/CAT; AChE,Survival,PARTIAL - AChE and mortality share chronic treatment strata; acute stress biomarkers are separate 96-h cohorts,Exact design and directional significance; means are figure-only,No supplement supplied,Not reported,INCLUDE - strict particle-only chronic biomarker-survival study,Manually verified - Batch 022,The paper inconsistently calls the survival test 40 days while presenting 30-day survival. Ingestion confirmation used melamine-resin particles and must not be treated as PS toxicity exposure.,PARTIAL,YES,PARTIAL,YES,YES,PARTIAL,YES,NO,,,,,,,"AChE and survival share chronic strata, while hsp70/antioxidant biomarkers are separate 96-h cohorts; means remain figure-only.",2020,Crustacean,Marine,Waterborne,PS,Microplastic,Juvenile,Single-generation or unclear,Partially reusable,2020,Crustacean,Waterborne,PS,Microplastic
B1-094,10.1016/j.envpol.2022.119721,https://doi.org/10.1016/j.envpol.2022.119721,Environmental microplastics disrupt swimming activity in acute exposure in Danio rerio larvae and reduce growth and reproduction success in chronic exposure in D. rerio and Oryzias melastigma,Bettie Cormier; Jérôme Cachot; Mélanie Blanc; Mathieu Cabar; Christelle Clérandeau; Florian Dubocq; Florane Le Bihanic; Bénédicte Morin; Sarah Zapata; Marie-Laure Bégout; Xavier Cousin,2022,2022,Environmental Pollution,0093_2022_Environmental_microplastics_disrupt_swimming_activity_in_acute_exposure_in_Danio_rerio_larvae_and_reduce_j.envpol.2022.119721.pdf.pdf,Danio rerio; Oryzias melastigma,Fish,"Embryo, larva, juvenile and adult; unexposed F1 offspring",F0 adult reproduction and parental exposure,Acute early-life experiment plus chronic F0 and unexposed F1 assessment,Freshwater and marine laboratory systems,Environmental mixture dominated by polyethylene and polypropylene,Field-collected weathered environmental microplastics,Acute suspension at 1 or 10 mg/L; chronic diet used 53-100 µm fraction,MG median 33.7 µm and mean 87.1 µm; PB size distribution reported in supplement,More than 98% fragments,Beach-weathered particles with site-specific sorbed organic contaminants and trace metals,NO,Waterborne acute exposure and dietary chronic exposure,96-h acute exposure and 5-month chronic feeding at 1% wet weight,3 hpf acute; 30 dpf chronic,3-96 hpf acute; 30 dpf to 6 mpf chronic; F1 followed without exposure,1 and 10 mg/L acute; 1% wet weight in diet chronic,mg/L or % wet weight,NO for strict particle-only attribution,"Inseparable field-sorbed chemical mixture including hydrocarbons, pesticides, phthalates, flame retardants and metals",Clean E3 medium or plain diet with matched flaxseed oil,Acute replicate dish; chronic rearing tank; spawning pair or tank depending species,3 replicates/treatment for acute and chronic exposures,20 embryos/acute replicate; at least 20-30 fish/chronic tank,High particle realism but particle and sorbed-chemical effects are inseparable,EROD; acetylcholinesterase; lipid peroxidation; DNA damage,Swimming behaviour; survival; growth; reproduction; F1 survival and behaviour,YES within each exposure experiment; not a clean particle-only causal contrast,Exact percentages and survival-time confidence intervals plus figure-level means,Extensive supplementary methods and results referenced; not supplied,Not reported,EXCLUDE - environmental particle/pollutant mixture for strict particle-only inference; retain as secondary realistic-mixture evidence,Manually verified - Batch 023,Environmentally realistic particles carried site-specific contaminant mixtures and no uncontaminated or chemically matched particle arm was included.,YES,YES,YES,PARTIAL,PARTIAL,PARTIAL,YES,NO,,,,,,,"Strong multilevel design, but strict particle attribution is impossible because field particles carry inseparable contaminant mixtures and much numerical detail is in the unavailable supplement.",2022,Fish,Mixed freshwater–marine,Mixed waterborne–dietary,Mixed polymers,Microplastic,Multiple stages or life cycle,Inter- or multigenerational,Directional or nonstandard evidence only,2022,Fish,Mixed waterborne–dietary,Mixed polymers,Microplastic
B1-095,10.1016/j.jhazmat.2021.127751,https://doi.org/10.1016/j.jhazmat.2021.127751,Microplastics: A tissue-specific threat to microbial community and biomarkers of discus fish (Symphysodon aequifasciatus),Jun-Nan Huang; Yuan Zhang; Lei Xu; Kai-Xuan He; Bin Wen; Pei-Wen Yang; Jie-Yu Ding; Jing-Ze Li; Huan-Chao Ma; Jian-Zhong Gao; Zai-Zhong Chen,2022,2021,Journal of Hazardous Materials,0094_2022_Microplastics_A_tissue-specific_threat_to_microbial_community_and_biomarkers_of_discus_fish_(Symphysodon_j.jhazmat.2021.127751.pdf.pdf,Symphysodon aequifasciatus,Fish,Five-month-old juvenile,Not applicable,Single-generation repeated-time exposure,Freshwater tanks,Polystyrene,Microplastic,38.37 ± 1.73 µm,38.37 ± 1.73 µm by particle-size analysis,Spherical fluorescent particles,Pristine commercial particles; stock contained ethanol and Tween-20,Green fluorescence,Waterborne,Semi-static 28-d exposure with one-third water replacement every other day,Five-month-old juvenile,14 and 28 d,"0, 20 and 200 µg/L",µg/L,YES,None intended; dispersant stock contained ethanol and Tween-20,Particle-free control without ethanol or Tween-20,Tank,6 tanks/treatment,10 fish/tank; four fish/tank sampled at each time,Concentrations selected from reported environmental particle abundances,Skin oxidative stress; gill ion regulation; intestinal digestive enzymes; tissue accumulation; tissue microbiota,Body weight and condition factor,YES - matched treatment groups and 28-d endpoint,Exact Table 2 mean ± SD for eight biomarkers; growth values figure-only,Supplement referenced; not supplied,Microbiome sequences public as SRP337385; phenotype raw data not reported,INCLUDE - strict particle-only study with vehicle-control and biomarker-replication caveats,Manually verified - Batch 023,"Six exposure tanks were used, but Table 2 reports n=3 without stating how samples were allocated across tanks; control also lacked the stock vehicle.",YES,YES,YES,YES,YES,PARTIAL,YES,PARTIAL,,,,,,,"Table 2 is numerically complete, but its n=3 biochemical samples are not mapped to the six exposure tanks; sequence data are public but phenotype data are not.",2021,Fish,Freshwater,Waterborne,PS,Microplastic,Juvenile,Single-generation,Partially reusable,2021,Fish,Waterborne,PS,Microplastic
B1-096,10.1016/j.chemosphere.2022.135198,https://doi.org/10.1016/j.chemosphere.2022.135198,Effects of pristine or contaminated polyethylene microplastics on zebrafish development,Marco Tarasco; Paulo J. Gavaia; Anabela Bensimon-Brito; Fabrice P. Cordelières; Tamara Santos; Gil Martins; Daniela T. de Castro; Nadia Silva; Elsa Cabrita; Maria J. Bebianno; Didier Y. R. Stainier; M. Leonor Cancela; Vincent Laizé,2022,2022,Chemosphere,0095_2022_Effects_of_pristine_or_contaminated_polyethylene_microplastics_on_zebrafish_development_j.chemosphere.2022.135198.pdf.pdf,Danio rerio,Fish,Larva through adult; unexposed F1 larvae,F0 reproduction and parental exposure,Long-term F0 dietary exposure with intergenerational F1 assessment,Freshwater recirculating and glass-tank systems,Polyethylene,Microplastic,20-27 µm,Manufacturer size 20-27 µm,Fluorescent microspheres,Pristine or benzo[a]pyrene-spiked; particles contain proprietary additive below 30% w/w,YES,Dietary,Diet supplemented with 1% w/w particles from 8 dpf onward,8 dpf,"To 30, 90 and 360 dpf; F1 evaluated at 6 dpf","Control, 1% pristine MP, 1% MP-BaP",% w/w diet,YES - pristine MP arm,"Benzo[a]pyrene on secondary MP-BaP arm, 2.68 ± 0.13 µg BaP/g particles",Commercial control diet; pristine-particle and contaminated-particle diets,Exposure tank,Three replicate tanks/diet stated or inferred from design; endpoint-specific sampling varies,"600 larvae total, described as 200 per replicate; later endpoint n varies",Long-term dietary exposure but high particle loading and proprietary particle additive,Skeletal development; scale mineralization; intestinal goblet cells; oxidative-stress and BaP-response gene expression,Growth; reproductive performance; skeletal deformity; F1 growth and operculum development,YES - matched F0 diet groups with derived unexposed F1,Numerous exact source-reported relative changes; raw arm distributions mainly figure-only or median/range,Supplementary tables and figures referenced; not supplied,Not reported,INCLUDE - strict pristine-particle arm; BaP-coated arm secondary,Manually verified - Batch 023,"Pristine MP provides a particle-only contrast, but the microspheres contain an undisclosed additive and many numerical results are relative changes with unspecified uncertainty type rather than arm mean ± SD.",YES,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,NO,,,,,,,"A pristine-particle arm is present, but many results are relative effects or median/range plots and replication wording is endpoint-specific or ambiguous.",2022,Fish,Freshwater,Dietary,PE family,Microplastic,Multiple stages or life cycle,Inter- or multigenerational,Directional or nonstandard evidence only,2022,Fish,Dietary,PE family,Microplastic
B1-097,10.1016/j.scitotenv.2021.152098,https://doi.org/10.1016/j.scitotenv.2021.152098,Polystyrene nanoplastics affect digestive function and growth in juvenile groupers,Qing Wang; Fengqi Huang; Kaishan Liang; Wenbiao Niu; Xuzhuo Duan; Xianze Jia; Xuefeng Wu; Peng Xu; Lei Zhou,2022,2021,Science of the Total Environment,0096_2022_Polystyrene_nanoplastics_affect_digestive_function_and_growth_in_juvenile_groupers_j.scitotenv.2021.152098.pdf.pdf,Epinephelus coioides,Fish,Juvenile,Not applicable,Single-generation dose-response exposure,Marine aquaria,Polystyrene,Nanoplastic,Approximately 100 nm,100.86 ± 7.15 nm,Fluorescent nanospheres,Pristine commercial fluorescent particles,YES,Waterborne,14-d exposure,"Juvenile, mean length 5.26 cm and weight 4.26 g",14 d,"0, 300 and 3000 µg/L",µg/L,YES,,Particle-free control,Tank,3 tanks/treatment,40 fish/tank,High nominal concentrations; short exposure,Digestive enzymes; lysozyme; SOD; intestinal and liver histopathology; microbiome; particle uptake,Specific growth rate and mortality,YES - matched 14-d treatment groups,Exact mean ± SD for SGR and seven enzyme endpoints; mortality counts exact,Supplement not required for extracted core outcomes,Not reported,INCLUDE - strict particle-only multi-level study; enzyme sampling nested across tanks,Manually verified - Batch 023,"SGR can be linked to three exposure tanks, but enzyme samples pooled three fish each and their allocation across the three tanks was not reported.",YES,YES,YES,YES,YES,PARTIAL,YES,NO,,,,,,,SGR supports tank-level comparison; pooled enzyme samples are not traceable to the three tanks and therefore cannot be treated as independent exposure replicates.,2021,Fish,Marine,Waterborne,PS,Nanoplastic,Juvenile,Single-generation,Partially reusable,2021,Fish,Waterborne,PS,Nanoplastic
B1-098,10.1016/j.envpol.2022.120480,https://doi.org/10.1016/j.envpol.2022.120480,"Polystyrene microplastic ingestion induces the damage in digestive gland of Amphioctopus fangsiao at the physiological, inflammatory, metabolome and transcriptomic levels",Jian Zheng; Congjun Li; Xiaodong Zheng,2022,2022,Environmental Pollution,0097_2022_Polystyrene_microplastic_ingestion_induces_the_damage_in_digestive_gland_of_Amphioctopus_fangsiao_at_the_j.envpol.2022.120480.pdf.pdf,Amphioctopus fangsiao,Mollusc,"Sub-adult, approximately 200 d old",Sub-adult growth,Single-generation dose-response exposure,Marine tanks,Polystyrene,Microplastic,5 µm,5 µm sphere confirmed by SEM and FTIR,Sphere,Pristine commercial particles,NO,Waterborne with ingestion likely through water and prey contact,21-d semi-static exposure with daily partial water renewal and redosing,Sub-adult approximately 200 d old,21 d,"0, 100 and 1000 µg/L",µg/L,YES,,Particle-free seawater control,Tank,"18 tanks total, 3 octopuses/tank; six tanks/group inferred",3 octopuses/tank,Low treatment described as seabed-relevant; high treatment mechanistic,Oxidative stress; glucolipid metabolism; histopathology; integrated biomarker response; transcriptomics; metabolomics,Specific growth rate and hepatosomatic index,YES at study level; endpoint samples drawn from the same exposure experiment,Directional figure results plus exact DEG and metabolite counts; phenotype arm means are figure-only,Supplement referenced; not supplied,Transcriptome reads public as SRR21871815-SRR21871820; phenotype and metabolomics raw data not reported,INCLUDE - strict particle-only study; figure-only phenotype values and tank-mapping caveats,Manually verified - Batch 023,"Eighteen tanks indicate six tanks/group, but growth, biochemical and omics sample selection was not mapped back to exposure tanks; most phenotype means are only plotted.",YES,YES,YES,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,,,,,,,"Exposure tanks are reported, but endpoint samples are not mapped to tanks and phenotype means are figure-only; transcriptome reads are public.",2022,Mollusc,Marine,Trophic transfer,PS,Microplastic,Adult,Single-generation,Directional or nonstandard evidence only,2022,Mollusc,Trophic transfer,PS,Microplastic
B1-099,10.1016/j.ecoenv.2022.113540,https://doi.org/10.1016/j.ecoenv.2022.113540,"Enrichment of polystyrene microplastics induces histological damage, oxidative stress, Keap1-Nrf2 signaling pathway-related gene expression in loach juveniles (Paramisgurnus dabryanus)",Xianqing Wang; Shaoqing Jian; Shuaishuai Zhang; Di Wu; Junhua Wang; Meng Gao; Junqing Sheng; Yijiang Hong,2022,2022,Ecotoxicology and Environmental Safety,0098_2022_Enrichment_of_polystyrene_microplastics_induces_histological_damage_oxidative_stress_Keap1-Nrf2_signaling_j.ecoenv.2022.113540.pdf(3).pdf,Paramisgurnus dabryanus,Fish,Juvenile,Not applicable,Single-generation juvenile study with separate uptake and 21-d toxicity/growth experiments,Freshwater glass tanks,Polystyrene,Nanoplastic and microplastic,0.5 and 5 µm,Not reported,Not reported,Pristine commercial particles; fluorescent material used for uptake and ordinary particles for toxicity,YES in uptake experiment; NO in toxicity experiment,Waterborne,Semi-static exposure with complete water renewal every 48 h in uptake trial and one-third renewal in growth/toxicity trial,"Juveniles, 2.5 ± 0.2 g","0-168 h uptake; 21 d growth/toxicity with sampling on days 7, 14 and 21","0, 100 and 1000",µg/L,YES,,Particle-free water control,Fish tank,3 replicates per group,30 fish/tank in uptake trial; growth trial states 50 fish per group/tank but allocation is unclear,Laboratory aquaculture scenario; environmental concentration relevance not quantified,Tissue particle burden; liver histopathology; SOD; CAT; GSH-PX; MDA; AChE; Keap1-Nrf2 and antioxidant-gene expression,Survival; weight gain; specific growth rate,YES for the 21-d toxicity experiment; uptake was a separate experiment,Outcome means and SEM are figure-only; exact qualitative and significance statements are available,No supplementary file cited for core outcomes,Not reported,INCLUDE - strict particle-only study with figure-only outcome values and replication ambiguity,Manually verified - Batch 024,"Numerical outcome values are confined to figures, and wording does not clearly resolve whether 50 fish were used per tank or per treatment in the 21-d trial.",YES,YES,YES,NO,NO,UC,YES,NO,,,,,,,Figure-only means/SEM prevent effect-size calculation; tank replication is reported but animal allocation in the 21-d experiment is unclear.,2022,Fish,Freshwater,Waterborne,PS,Nano–micro mixed or boundary,Juvenile,Single-generation,Directional or nonstandard evidence only,2022,Fish,Waterborne,PS,Nano–micro mixed or boundary
B1-100,10.1016/j.envpol.2021.118600,https://doi.org/10.1016/j.envpol.2021.118600,Intergenerational effects of environmentally-aged microplastics on the Crassostrea gigas,Arno Bringer; Jérôme Cachot; Emmanuel Dubillot; Grégoire Prunier; Valérie Huet; Christelle Clérandeau; Louise Evin; Hélène Thomas,2022,2021,Environmental Pollution,0099_2022_Intergenerational_effects_of_environmentally-aged_microplastics_on_the_Crassostrea_gigas_j.envpol.2021.118600.pdf(3).pdf,Crassostrea gigas,Bivalve mollusc,F0 adult and unexposed F1 D-larvae,F0 adults were directly exposed and used as parents,Intergenerational design with 56-d F0 exposure and no direct F1 particle exposure,Marine filtered seawater system,HDPE 28%; PP 40%; PVC 32%,Microplastic mixed-polymer fragments,100 µm to 5 mm sieved fraction,138.6 ± 2.3 µm,Irregular crushed fragments,Environmentally aged aquaculture plastics recovered from a beach,NO,Waterborne parental exposure,Continuous recirculating exposure with water renewal every two days; offspring assessed after in-vitro fertilisation,"Adult oysters, 24 months, 15.75 ± 1.5 g","56 d F0 exposure; F1 assessed at 24, 48 and 72 h","0, 0.1 and 10",mg/L,"YES as an aged-material treatment, but polymer and additive/weathering chemistry are inseparable",No deliberately added co-stressor; aged-plastic additives and acquired chemicals were not separately controlled,Particle-free seawater control,Condition-level buffer tank for F0 exposure; parent pair for F1 assays,Three exposure tanks per condition connected to one shared buffer tank; three parental pairs per condition,30 oysters/tank; approximately 300-350 eggs/well; endpoint-specific larval subsamples,"Aged particles are realistic; 0.1 mg/L approximates an upper environmental loading, whereas 10 mg/L is high",Internal particle burden; SOD; GST; MDA; laccase; gamete quality,"Adult mortality and condition; F1 swimming, trajectory, development and length",YES - parental biomarkers and F1 outcomes originate from the same condition-level exposure,Many exact text/table means ± SEM; variance is not usable for independent treatment inference because each condition shared one buffer tank,Extensive supplementary tables/figures referenced but not supplied,Not reported,INCLUDE - aged mixed-polymer intergenerational evidence; shared-buffer pseudoreplication prevents primary synthesis,Manually verified - Batch 024,"Three nominal exposure tanks per condition were hydraulically connected to a single condition-specific buffer tank, leaving one independent F0 exposure system per treatment.",YES,YES,YES,YES,YES,NO,YES,NO,,,,,,,"Exact means and SEM are reported, but one shared buffer tank per condition leaves no replicated F0 exposure and offspring are nested within three parent pairs.",2021,Mollusc,Marine,Waterborne,Mixed polymers,Microplastic,Multiple stages or life cycle,Inter- or multigenerational,Partially reusable,2021,Mollusc,Waterborne,Mixed polymers,Microplastic
B1-101,10.3390/w14121831,https://doi.org/10.3390/w14121831,"Embryotoxicity of Polystyrene Microspheres of Different Sizes to the Marine Medaka Oryzias melastigma (McClelland, 1839)",Jincan Chen; Chao Fang; Ronghui Zheng; Jun Bo,2022,2022,Water,0100_2022_Embryotoxicity_of_Polystyrene_Microspheres_of_Different_Sizes_to_the_Marine_Medaka_Oryzias_melastigma_(Mc_w14121831.pdf(3).pdf,Oryzias melastigma,Fish,Embryo,Adults used only as broodstock,Single-generation embryo exposure,Marine laboratory culture,Polystyrene,Nanoplastic and microplastic,"0.05, 0.5 and 6.0 µm",SEM confirmed consistency with nominal sizes; exact measured diameters not printed,Spherical,Pristine commercial fluorescent and non-fluorescent particles,YES for imaging; non-fluorescent particles used for ROS assay,Waterborne,19-d embryo exposure performed in triplicate,Embryos,3-19 d depending endpoint,0 and 1 × 10^6,particles/L,YES,,Particle-free seawater control,Petri dish,3 replicate dishes per treatment,Table reports n=100 for hatching/mortality; allocation among triplicate dishes is not stated,Concentration selected from prior studies; direct environmental comparability not established,"Chorion attachment and penetration; ROS; immune/inflammatory, endocrine, hypoxia, metabolism and oxidative-stress gene expression",Hatching time and rate; mortality; heart rate; embryo diameter,YES - biomarker and apical endpoints were measured in the same exposure design,"Exact mean ± SE tables for hatching, mortality and diameter; other outcomes are figure-only or qualitative",Appendix figures and tables are included in the article,Not reported,INCLUDE - strict particle-only embryo study; independent-unit variance cannot be reconstructed,Manually verified - Batch 024,The article reports triplicate treatments but tables label n=100 or n=9 without mapping observations to dishes; SE values were therefore not converted to independent-unit SD.,YES,YES,YES,YES,YES,UC,UC,NO,,,,,,,"Exact mean±SE tables are available, but n=100/n=9 observations are not allocated among triplicate dishes and independent-unit SD cannot be recovered.",2022,Fish,Marine,Waterborne,PS,Nano–micro mixed or boundary,Embryo or larva,Single-generation,Partially reusable,2022,Fish,Waterborne,PS,Nano–micro mixed or boundary
B1-102,10.1016/j.jhazmat.2021.127038,https://doi.org/10.1016/j.jhazmat.2021.127038,"Adverse effects of dietary virgin (nano)microplastics on growth performance, immune response, and resistance to ammonia stress and pathogen challenge in juvenile sea cucumber Apostichopus japonicus (Selenka)",Ji Liu; Dongxue Xu; Yanru Chen; Chunyan Zhao; Lanhao Liu; Yuanxue Gu; Yichao Ren; Bin Xia,2022,2021,Journal of Hazardous Materials,0101_2022_Adverse_effects_of_dietary_virgin_(nano)microplastics_on_growth_performance_immune_response_and_resistanc_j.jhazmat.2021.127038.pdf(3).pdf,Apostichopus japonicus,Echinoderm,Juvenile,Not applicable,Single-generation 60-d dietary exposure followed by ammonia and pathogen challenge subsets,Marine aquaria,Polystyrene,Nanoplastic and microplastic,100 nm and 20 µm,Nominal diameters with stated deviation range <5-10%; no exact measured diameter printed,Not reported,Virgin highly purified commercial particles,NO,Dietary,60-d feeding experiment followed by a 10-d ammonia challenge or 7-d Vibrio challenge in subsets,"Juveniles, initial wet weight 15.03 ± 0.95 g",60 d feeding; 10 d ammonia stress; 7 d pathogen challenge,0 and 100,mg/kg diet,YES for feeding outcomes,Post-exposure 40 mg/L ammonia or Vibrio splendidus injection in secondary challenge outcomes,Matched diet without PS particles,Aquarium,3 aquaria per treatment,120 animals/aquarium; endpoint subsamples generally pooled within aquarium,"Authors describe the nominal dietary loading as environment-relevant, but dose comparability with field ingestion is uncertain",Body composition; digestive enzymes; ROS; MDA; SOD; CAT; cellular and humoral immunity; ammonia-detoxification and stress-response genes; IBR,Final dry weight; weight gain; specific growth rate; feed intake; pathogen-challenge mortality,YES for matched feeding outcomes and linked post-exposure challenge cohorts,Exact Table 2 mean ± SD growth data support six tank-level primary comparisons; most biomarkers are figure-only,No supplementary file required for the extracted core tables,Not reported,INCLUDE - strict particle-only feeding study; challenge outcomes are secondary co-stressor evidence,Manually verified - Batch 024,"Growth outcomes are replicated by three aquaria and quantitatively usable; most mechanistic outcomes are plotted, while pooled-animal sampling must remain nested within tanks.",YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,Tank-replicated mean±SD growth data are quantitatively usable; most biomarker values remain figure-only and challenge outcomes are secondary.,2021,Echinoderm,Marine,Dietary,PS,Nano–micro mixed or boundary,Juvenile,Single-generation,Fully reusable for conventional effect size,2021,Echinoderm,Dietary,PS,Nano–micro mixed or boundary
B1-103,10.1021/acsomega.2c03378,https://doi.org/10.1021/acsomega.2c03378,Polystyrene Nanoplastic Exposure Induces Developmental Toxicity by Activating the Oxidative Stress Response and Base Excision Repair Pathway in Zebrafish (Danio rerio),Meilan Feng; Juanjuan Luo; Yiping Wan; Jiannan Zhang; Chunjiao Lu; Maya Wang; Lu Dai; Xiaoqian Cao; Xiaojun Yang; Yajun Wang,2022,2022,ACS Omega,0102_2022_Polystyrene_Nanoplastic_Exposure_Induces_Developmental_Toxicity_by_Activating_the_Oxidative_Stress_Respon_acsomega.2c03378.pdf(3).pdf,Danio rerio,Fish,Embryo and larva,Adults used only as broodstock,Single-generation early-life exposure,Freshwater E3 embryo medium,Polystyrene,Nanoplastic,100 nm,106 nm by DLS/SEM; zeta potential -22.3333 mV,Spherical,Pristine commercial particles,NO,Waterborne,Static 24-96 h exposure from 24 hpf in Petri dishes; endpoint-specific subsampling,24 hpf embryos,"24, 48, 72 or 96 h","0, 100, 200 and 400",mg/L,YES,,Untreated E3-medium control,Petri dish or replicate sample,3 independent replicates stated,"Methods state 100 embryos per dish, whereas figure captions state n=100 per group; other endpoints use 20-50 organisms/group",Very high concentrations relative to environmental levels,ROS; SOD; CAT; apoptosis markers; base-excision-repair gene expression,Survival; hatching; heart rate; body length; larval locomotion,YES - mechanistic and developmental outcomes were measured under the same exposure series,"Exact LC50, zeta potential, one survival percentage and ROS fold changes; remaining group values are figure-only",No supplementary file required for core outcomes,Not reported,INCLUDE - strict particle-only mechanistic study with high-dose and sample-size ambiguities,Manually verified - Batch 024,"The concentration range is 100-400 mg/L, and the statement of 100 embryos per dish conflicts with n=100 per group despite three replicates.",YES,YES,YES,NO,NO,UC,YES,NO,,,,,,,Most group values are figure-only and methods conflict between 100 embryos per dish and n=100 per group despite three replicates.,2022,Fish,Freshwater,Waterborne,PS,Nanoplastic,Embryo or larva,Single-generation,Directional or nonstandard evidence only,2022,Fish,Waterborne,PS,Nanoplastic
